,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1283,30300,DRNKANY5,RESP046,"[[57.36, nan, nan, nan, nan, nan, nan], [48.5, nan, nan, nan, nan, nan, nan]]","[0, 0, 57.36]",00
1284,30300,_HCVU651,RESP046,"[[83.52, nan, nan, nan, nan, nan, nan], [77.07, nan, nan, nan, nan, nan, nan]]","[0, 0, 83.52]",00
1285,30300,_RFHLTH,RESP061,"[[74.94, nan, nan, nan, nan, nan, nan], [66.85, nan, nan, nan, nan, nan, nan]]","[0, 0, 74.94]",00
1286,30300,_RFHYPE5,RESP046,"[[37.46, nan, nan, nan, nan, nan, nan], [29.38, nan, nan, nan, nan, nan, nan]]","[0, 0, 37.46]",00
1287,30300,_RFSMOK3,RESP046,"[[22.6, nan, nan, nan, nan, nan, nan], [15.01, nan, nan, nan, nan, nan, nan]]","[0, 0, 22.6]",00
1288,30300,_TOTINDA,RESP046,"[[76.71, nan, nan, nan, nan, nan, nan], [70.07, nan, nan, nan, nan, nan, nan]]","[0, 0, 76.71]",00
1289,30340,BLOODCHO,RESP046,"[[89.52, nan, nan, nan, nan, nan, nan], [86.25, nan, nan, nan, nan, nan, nan]]","[0, 0, 89.52]",00
1290,30340,Custom_8,Custom_8,"[[44.481680071492406, nan, nan, nan, nan, nan, nan], [39.400328362492445, nan, nan, nan, nan, nan, nan]]","[0, 0, 44.481680071492406]",00
1291,30340,Custom_9,Custom_9,"[[66.4, 67.14, nan, nan, nan, nan, nan], [56.70988132167619, 57.341403161676666, nan, nan, nan, nan, nan]]","[0, 0, 66.77000000000001]",00
1292,30340,DIABETE3,RESP046,"[[9.37, 11.79, nan, nan, nan, nan, nan], [7.04, 9.07, nan, nan, nan, nan, nan]]","[0, 2.420000000000001, -4857.250000000002]",0+
1293,30340,DRNKANY5,RESP046,"[[57.7, 53.74, nan, nan, nan, nan, nan], [53.25, 49.23, nan, nan, nan, nan, nan]]","[0, -3.959999999999999, 8021.2599999999975]",0-
1294,30340,_HCVU651,RESP046,"[[86.77, 86.6, nan, nan, nan, nan, nan], [82.99, 83.03, nan, nan, nan, nan, nan]]","[0, 0, 86.685]",00
1295,30340,_RFHLTH,RESP061,"[[85.01, 81.64, nan, nan, nan, nan, nan], [82.01, 77.96, nan, nan, nan, nan, nan]]","[0, -3.370000000000004, 6862.080000000008]",0-
1296,30340,_RFHYPE5,RESP046,"[[32.41, nan, nan, nan, nan, nan, nan], [28.43, nan, nan, nan, nan, nan, nan]]","[0, 0, 32.41]",00
1297,30340,_RFSMOK3,RESP046,"[[24.28, 23.66, nan, nan, nan, nan, nan], [20.05, 19.49, nan, nan, nan, nan, nan]]","[0, -0.6200000000000008, 1271.1000000000015]",0-
1298,30340,_TOTINDA,RESP046,"[[76.37, 75.99, nan, nan, nan, nan, nan], [72.7, 72.25, nan, nan, nan, nan, nan]]","[0, -0.38000000000000966, 840.5500000000193]",0-
1299,30460,BLOODCHO,RESP046,"[[82.9, nan, 76.13, nan, nan, nan, nan], [78.78, nan, 71.62, nan, nan, nan, nan]]","[0, -3.3850000000000064, 6890.135000000013]",0-
1300,30460,Custom_8,Custom_8,"[[40.699638118214715, nan, 53.81584132405097, nan, nan, nan, nan], [33.913495040748806, nan, 46.17074255410399, nan, nan, nan, nan]]","[0, 6.558101602918129, -13147.642685350143]",0+
1301,30460,Custom_9,Custom_9,"[[63.04, 59.87, 62.94, 63.77, nan, nan, 64.69], [51.92233387801199, 49.76666886616103, 52.250149673639015, 53.49735671796203, nan, nan, 52.08853579936045]]","[0, 0.4837618538237098, -911.0792968653501]",0+
1302,30460,DIABETE3,RESP046,"[[11.85, 7.55, 8.75, 10.99, nan, nan, 9.77], [8.52, 5.24, 6.12, 7.48, nan, nan, 6.42]]","[0, -0.14100439586381033, 294.11054991023644]",0-
1303,30460,DRNKANY5,RESP046,"[[55.33, 53.61, 49.57, 44.01, nan, nan, 51.51], [49.98, 48.32, 44.69, 38.91, nan, nan, 45.63]]","[-3389.277213039949, 0.8412025651459716, 3413968.2141076215]",-+
1304,30460,_HCVU651,RESP046,"[[84.95, 84.68, 79.25, 83.68, nan, nan, 92.8], [80.79, 80.15, 74.53, 78.68, nan, nan, 88.63]]","[-3021.67663415108, 0.7504809860284277, 3041641.1718919897]",-+
1305,30460,_RFHLTH,RESP061,"[[83.74, 83.49, 80.73, 82.18, nan, nan, 84.48], [79.94, 79.79, 76.65, 78.18, nan, nan, 80.15]]","[-1169.617535285844, 0.2903954514297703, 1177790.4608627686]",-+
1306,30460,_RFHYPE5,RESP046,"[[36.53, nan, 33.62, nan, nan, nan, 35.17], [31.49, nan, 29.21, nan, nan, nan, 29.72]]","[0, -0.142008662011468, 321.22201826283543]",0-
1307,30460,_RFSMOK3,RESP046,"[[24.25, 23.16, 21.87, 28.63, nan, nan, 18.62], [19.49, 18.28, 17.64, 23.77, nan, nan, 13.82]]","[1987.8766165521515, -0.4936660721844176, -2001151.784334909]",+-
1308,30460,_TOTINDA,RESP046,"[[78.02, 74.52, 74.91, 72.54, nan, nan, 70.65], [73.75, 69.91, 70.28, 67.8, nan, nan, 65.18]]","[-620.9263100746389, 0.15386814283257078, 626498.9604924049]",-+
