,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017,mean_and_cl,anova_p,param_list,trend_class
1964,40860,Custom_9,Custom_9,75.4186502487114,79.015537471397,,,,,,54.60134975128859,55.80446252860299,,,,,,65.00999999999999,67.41,,,,,,428.0,365.0,,,,,,"[[65.00999999999999, 67.41, nan, nan, nan, nan, nan], [54.60134975128859, 55.80446252860299, nan, nan, nan, nan, nan]]",0.011701970131025696,"[0, 2.400000000000005, -4761.39000000001]",0+
1965,40860,DIABETE3,RESP046,11.43,10.48,,,,,,6.97,5.78,,,,,,9.2,8.13,,,,,,89.0,67.0,,,,,,"[[9.2, 8.13, nan, nan, nan, nan, nan], [6.97, 5.78, nan, nan, nan, nan, nan]]",1.1102230246251565e-16,"[0, -1.069999999999998, 2160.969999999996]",0-
1966,40860,DRNKANY5,RESP046,63.13,67.03,,,,,,53.13,56.49,,,,,,58.13,61.76,,,,,,389.0,337.0,,,,,,"[[58.13, 61.76, nan, nan, nan, nan, nan], [53.13, 56.49, nan, nan, nan, nan, nan]]",1.1102230246251565e-16,"[0, 3.6299999999999955, -7241.799999999991]",0+
1967,40860,_HCVU651,RESP046,91.65,90.31,,,,,,82.75,79.25,,,,,,87.2,84.78,,,,,,421.0,351.0,,,,,,"[[87.2, 84.78, nan, nan, nan, nan, nan], [82.75, 79.25, nan, nan, nan, nan, nan]]",1.1102230246251565e-16,"[0, -2.4200000000000004, 4953.820000000001]",0-
1968,40860,_RFHLTH,RESP061,89.02,88.71,,,,,,83.14,81.15,,,,,,86.08,84.93,,,,,,596.0,497.0,,,,,,"[[86.08, 84.93, nan, nan, nan, nan, nan], [83.14, 81.15, nan, nan, nan, nan, nan]]",1.1102230246251565e-16,"[0, -1.1499999999999917, 2398.7299999999836]",0-
1969,40860,_RFHYPE5,RESP046,34.52,,,,,,,26.4,,,,,,,30.46,,,,,,,301.0,,,,,,,"[[30.46, nan, nan, nan, nan, nan, nan], [26.4, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 30.46]",00
1970,40860,_RFSMOK3,RESP046,23.73,22.42,,,,,,14.87,13.06,,,,,,19.3,17.74,,,,,,108.0,82.0,,,,,,"[[19.3, 17.74, nan, nan, nan, nan, nan], [14.87, 13.06, nan, nan, nan, nan, nan]]",1.0769163338864018e-14,"[0, -1.5600000000000027, 3156.4600000000055]",0-
1971,40860,_TOTINDA,RESP046,82.1,83.51,,,,,,73.64,74.33,,,,,,77.87,78.92,,,,,,548.0,472.0,,,,,,"[[77.87, 78.92, nan, nan, nan, nan, nan], [73.64, 74.33, nan, nan, nan, nan, nan]]",2.414696109731551e-09,"[0, 1.0499999999999974, -2033.6799999999953]",0+
1972,40900,BLOODCHO,RESP046,83.47,,82.11,,81.83,,,76.53,,73.95,,75.47,,,80.0,,78.03,,78.65,,,1116.0,,749.0,,828.0,,,"[[80.0, nan, 78.03, nan, 78.65, nan, nan], [76.53, nan, 73.95, nan, 75.47, nan, nan]]",1.1102230246251565e-16,"[0, -0.361788245991038, 807.046725386946]",0-
1973,40900,Custom_8,Custom_8,51.74350622344542,,,,46.70450516707329,,,41.056493776554575,,,,36.09269763012951,,,46.4,,,,41.3986013986014,,,456.0,,,,274.0,,,"[[46.4, nan, nan, nan, 41.3986013986014, nan, nan], [41.056493776554575, nan, nan, nan, 36.09269763012951, nan, nan]]",1.1102230246251565e-16,"[0, -1.2503496503496494, 2560.853146853145]",0-
1974,40900,Custom_9,Custom_9,67.97456848984547,70.71842401262093,69.64728336602847,70.30470246476409,71.49684981472325,70.46841690968606,72.98862846393652,53.085431510154535,52.00157598737907,50.69271663397153,50.05529753523591,55.72315018527676,53.35158309031396,55.491371536063504,60.53,61.36,60.17,60.18,63.61,61.910000000000004,64.24000000000001,756.0,580.0,500.0,362.0,596.0,477.0,555.0,"[[60.53, 61.36, 60.17, 60.18, 63.61, 61.910000000000004, 64.24000000000001], [53.085431510154535, 52.00157598737907, 50.69271663397153, 50.05529753523591, 55.72315018527676, 53.35158309031396, 55.491371536063504]]",1.1102230246251565e-16,"[-704.6653851002836, 0.17507379801208486, 709123.3969418359]",-+
1975,40900,DIABETE3,RESP046,10.97,12.53,11.66,12.41,10.89,9.13,12.84,6.85,6.45,6.22,6.93,6.15,5.17,7.58,8.91,9.49,8.94,9.67,8.52,7.15,10.21,127.0,101.0,83.0,66.0,89.0,74.0,100.0,"[[8.91, 9.49, 8.94, 9.67, 8.52, 7.15, 10.21], [6.85, 6.45, 6.22, 6.93, 6.15, 5.17, 7.58]]",1.1102230246251565e-16,"[0, 0.006893849478397402, -4.72402684350061]",0+
1976,40900,DRNKANY5,RESP046,67.46,64.92,64.29,60.55,59.65,59.47,64.51,59.66,55.94,55.03,49.77,51.93,50.65,55.89,63.56,60.43,59.66,55.16,55.79,55.06,60.2,726.0,537.0,487.0,327.0,556.0,438.0,521.0,"[[63.56, 60.43, 59.66, 55.16, 55.79, 55.06, 60.2], [59.66, 55.94, 55.03, 49.77, 51.93, 50.65, 55.89]]",1.1102230246251565e-16,"[-2570.7978325454487, 0.6380039838254729, 2589773.617902286]",-+
1977,40900,_HCVU651,RESP046,85.57,85.47,85.37,94.25,93.44,94.49,93.56,77.93,76.89,77.53,86.99,88.74,89.67,88.12,81.75,81.18,81.45,90.62,91.09,92.08,90.84,770.0,596.0,521.0,421.0,731.0,564.0,628.0,"[[81.75, 81.18, 81.45, 90.62, 91.09, 92.08, 90.84], [77.93, 76.89, 77.53, 86.99, 88.74, 89.67, 88.12]]",1.1102230246251565e-16,"[0, 2.1646963412178657, -4272.925699018237]",0+
1978,40900,_RFHLTH,RESP061,88.81,89.35,87.0,87.09,86.98,89.75,87.95,83.83,82.33,79.48,80.11,81.96,84.23,81.95,86.32,85.84,83.24,83.6,84.47,86.99,84.95,1095.0,848.0,749.0,533.0,857.0,706.0,786.0,"[[86.32, 85.84, 83.24, 83.6, 84.47, 86.99, 84.95], [83.83, 82.33, 79.48, 80.11, 81.96, 84.23, 81.95]]",1.1102230246251565e-16,"[-1024.0584438311796, 0.2542225081988254, 1031361.3116948688]",-+
1979,40900,_RFHYPE5,RESP046,30.09,,33.75,,34.35,,34.55,23.81,,25.99,,27.21,,26.87,26.95,,29.87,,30.78,,30.71,456.0,,326.0,,328.0,,305.0,"[[26.95, nan, 29.87, nan, 30.78, nan, 30.71], [23.81, nan, 25.99, nan, 27.21, nan, 26.87]]",1.1102230246251565e-16,"[753.7801422762251, -0.18698440817513098, -759637.2734342496]",+-
1980,40900,_RFSMOK3,RESP046,16.32,17.95,19.51,17.12,14.84,13.83,11.9,10.76,11.41,12.41,10.5,9.78,8.39,7.0,13.54,14.68,15.96,13.81,12.31,11.11,9.45,143.0,130.0,111.0,83.0,107.0,81.0,87.0,"[[13.54, 14.68, 15.96, 13.81, 12.31, 11.11, 9.45], [10.76, 11.41, 12.41, 10.5, 9.78, 8.39, 7.0]]",1.1102230246251565e-16,"[1311.1220013683867, -0.32571407341325026, -1319425.241257779]",+-
1981,40900,_TOTINDA,RESP046,85.4,88.02,86.64,84.03,84.78,85.18,86.85,79.6,80.72,79.2,75.37,78.66,78.76,80.43,82.5,84.37,82.92,79.7,81.72,81.97,83.64,1007.0,795.0,668.0,477.0,746.0,676.0,696.0,"[[82.5, 84.37, 82.92, 79.7, 81.72, 81.97, 83.64], [79.6, 80.72, 79.2, 75.37, 78.66, 78.76, 80.43]]",1.1102230246251565e-16,"[-1134.4619880015225, 0.28159979430150367, 1142663.7481051222]",-+
1982,41060,BLOODCHO,RESP046,,,,,82.89,,,,,,,73.63,,,,,,,78.26,,,,,,,522.0,,,"[[nan, nan, nan, nan, 78.26, nan, nan], [nan, nan, nan, nan, 73.63, nan, nan]]",1.0,"[0, 0, 78.26]",00
1983,41060,Custom_8,Custom_8,,,,,48.63618205040059,,,,,,,35.72364416989073,,,,,,,42.17991311014566,,,,,,,190.0,,,"[[nan, nan, nan, nan, 42.17991311014566, nan, nan], [nan, nan, nan, nan, 35.72364416989073, nan, nan]]",1.0,"[0, 0, 42.17991311014566]",00
1984,41060,Custom_9,Custom_9,,,,77.3896025437698,75.09307605930812,78.4315177361595,78.032308876587,,,,57.01039745623021,55.22692394069188,59.38848226384049,56.54769112341298,,,,67.2,65.16,68.91,67.28999999999999,,,,373.0,391.0,415.0,437.0,"[[nan, nan, nan, 67.2, 65.16, 68.91, 67.28999999999999], [nan, nan, nan, 57.01039745623021, 55.22692394069188, 59.38848226384049, 56.54769112341298]]",8.101865548082454e-05,"[0, 0.36083125982437975, -660.1549824379481]",0+
1985,41060,DIABETE3,RESP046,,,,9.79,8.68,12.76,11.89,,,,5.29,4.6,7.82,5.61,,,,7.54,6.64,10.29,8.75,,,,53.0,56.0,78.0,65.0,"[[nan, nan, nan, 7.54, 6.64, 10.29, 8.75], [nan, nan, nan, 5.29, 4.6, 7.82, 5.61]]",1.1102230246251565e-16,"[0, 0.5990339979378342, -1199.0160731722135]",0+
1986,41060,DRNKANY5,RESP046,,,,71.55,65.44,66.57,72.4,,,,61.47,55.76,57.51,62.68,,,,66.51,60.6,62.04,67.54,,,,364.0,376.0,389.0,441.0,"[[nan, nan, nan, 66.51, 60.6, 62.04, 67.54], [nan, nan, nan, 61.47, 55.76, 57.51, 62.68]]",1.1102230246251565e-16,"[-11575.321187760253, 2.871685335565681, 11664644.667570967]",-+
1987,41060,_HCVU651,RESP046,,,,96.52,96.45,95.93,95.23,,,,91.14,90.89,90.45,88.99,,,,93.83,93.67,93.19,92.11,,,,411.0,448.0,446.0,463.0,"[[nan, nan, nan, 93.83, 93.67, 93.19, 92.11], [nan, nan, nan, 91.14, 90.89, 90.45, 88.99]]",1.1102230246251565e-16,"[929.171238736647, -0.23064647422461323, -935709.7535100097]",+-
1988,41060,_RFHLTH,RESP061,,,,93.16,92.16,89.89,90.15,,,,87.32,86.86,83.97,83.53,,,,90.24,89.51,86.93,86.84,,,,506.0,557.0,562.0,585.0,"[[nan, nan, nan, 90.24, 89.51, 86.93, 86.84], [nan, nan, nan, 87.32, 86.86, 83.97, 83.53]]",1.1102230246251565e-16,"[0, -1.243055511507038, 2593.7535372674283]",0-
1989,41060,_RFHYPE5,RESP046,,,,,31.81,,32.13,,,,,23.93,,23.67,,,,,27.87,,27.9,,,,,205.0,,213.0,"[[nan, nan, nan, nan, 27.87, nan, 27.9], [nan, nan, nan, nan, 23.93, nan, 23.67]]",0.8264959797102286,"[0, 0, 27.884999999999998]",00
1990,41060,_RFSMOK3,RESP046,,,,20.29,18.52,18.1,20.52,,,,12.41,11.42,11.64,12.06,,,,16.35,14.97,14.87,16.29,,,,75.0,76.0,89.0,95.0,"[[nan, nan, nan, 16.35, 14.97, 14.87, 16.29], [nan, nan, nan, 12.41, 11.42, 11.64, 12.06]]",1.1102230246251565e-16,"[-2815.8863468107274, 0.6985513956066778, 2837750.084932402]",-+
