,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017
1531,34820,Custom_8,Custom_8,0.6338629878378642,,0.6710666531656581,,0.5499444637676727,,,0.4920591035300665,,0.5301182394534484,,0.437397308384226,,,0.5629610456839653,,0.6005924463095532,,0.4936708860759494,,,339.0,,349.0,,416.0,,
1532,34820,Custom_9,Custom_9,73.03965701406007,72.69058855163469,77.01355201672403,74.10151793348662,74.48752242947862,81.40150280844198,76.221241781886,54.380342985939954,55.18941144836532,56.486447983275966,57.498482066513375,56.9324775705214,60.838497191558034,57.77875821811401,63.71000000000001,63.940000000000005,66.75,65.8,65.71000000000001,71.12,67.0,504.0,593.0,487.0,622.0,636.0,579.0,602.0
1533,34820,DIABETE3,RESP046,13.03,11.86,12.34,12.52,14.05,14.84,15.58,8.13,7.58,7.52,8.32,9.03,9.16,10.32,10.58,9.72,9.93,10.42,11.54,12.0,12.95,110.0,125.0,94.0,141.0,139.0,127.0,143.0
1534,34820,DRNKANY5,RESP046,57.38,55.94,55.07,53.87,58.07,59.62,54.65,47.42,47.4,45.51,45.79,49.41,50.44,45.55,52.4,51.67,50.29,49.83,53.74,55.03,50.1,388.0,455.0,371.0,476.0,505.0,457.0,453.0
1535,34820,_HCVU651,RESP046,72.28,73.58,75.26,80.31,83.69,84.74,83.47,61.26,63.3,64.64,72.07,74.99,76.12,74.17,66.77,68.44,69.95,76.19,79.34,80.43,78.82,337.0,432.0,351.0,459.0,487.0,442.0,426.0
1536,34820,_RFHLTH,RESP061,83.38,86.23,83.16,81.28,85.33,83.17,81.58,76.32,80.31,76.1,75.2,78.95,75.65,74.24,79.85,83.27,79.63,78.24,82.14,79.41,77.91,627.0,758.0,595.0,760.0,811.0,724.0,704.0
1537,34820,_RFHYPE5,RESP046,41.82,,43.71,,42.4,,44.47,33.0,,34.65,,34.56,,35.97,37.41,,39.18,,38.48,,40.22,358.0,,349.0,,469.0,,450.0
1538,34820,_RFSMOK3,RESP046,35.07,27.57,26.47,23.17,23.37,22.14,24.49,25.81,20.01,18.27,16.63,16.39,15.44,16.57,30.44,23.79,22.37,19.9,19.88,18.79,20.53,182.0,183.0,155.0,171.0,168.0,156.0,149.0
1539,34820,_TOTINDA,RESP046,78.5,80.92,78.8,76.93,79.49,77.84,77.62,69.14,74.06,70.06,69.83,72.63,69.96,69.58,73.82,77.49,74.43,73.38,76.06,73.9,73.6,580.0,724.0,545.0,742.0,716.0,674.0,635.0
1540,34980,BLOODCHO,RESP046,86.1,,87.05,,84.72,,,74.66,,81.21,,75.9,,,80.38,,84.13,,80.31,,,758.0,,909.0,,944.0,,
1541,34980,Custom_8,Custom_8,0.5198041313021732,,0.4803895623389994,,0.4843425136277277,,,0.3505616313253462,,0.38160972447902036,,0.3686023251221166,,,0.43518288131375965,,0.43099964340900987,,0.42647241937492214,,,299.0,,369.0,,398.0,,
1542,34980,Custom_9,Custom_9,81.61479453171376,70.4362649256874,77.01343896204669,74.86593107035662,75.32821485664934,74.52515548814621,74.15206026000735,54.72520546828625,56.3037350743126,59.44656103795329,55.77406892964336,55.89178514335066,56.03484451185379,56.627939739992655,68.17,63.37,68.22999999999999,65.32,65.61,65.28,65.39,542.0,837.0,657.0,510.0,657.0,592.0,575.0
1543,34980,DIABETE3,RESP046,10.36,11.17,10.85,13.79,11.15,13.01,14.23,5.42,7.65,6.85,8.77,6.57,8.15,9.33,7.89,9.41,8.85,11.28,8.86,10.58,11.78,112.0,165.0,125.0,122.0,141.0,128.0,127.0
1544,34980,DRNKANY5,RESP046,53.75,52.61,48.63,55.84,51.86,57.95,55.51,40.69,45.51,40.67,46.04,42.64,49.33,46.73,47.22,49.06,44.65,50.94,47.25,53.64,51.12,261.0,552.0,401.0,329.0,437.0,466.0,439.0
1545,34980,_HCVU651,RESP046,82.97,85.37,86.07,91.0,90.12,93.05,89.57,69.95,78.71,78.93,83.32,82.28,86.35,82.01,76.46,82.04,82.5,87.16,86.2,89.7,85.79,470.0,823.0,640.0,485.0,637.0,605.0,587.0
1546,34980,_RFHLTH,RESP061,87.55,87.0,87.09,84.26,89.07,86.99,88.37,77.99,82.3,81.57,77.36,83.81,80.87,82.85,82.77,84.65,84.33,80.81,86.44,83.93,85.61,690.0,1091.0,863.0,636.0,881.0,816.0,782.0
1547,34980,_RFHYPE5,RESP046,41.18,,40.15,,36.87,,38.69,29.5,,32.89,,28.91,,30.77,35.34,,36.52,,32.89,,34.73,376.0,,461.0,,459.0,,355.0
1548,34980,_RFSMOK3,RESP046,27.99,26.85,22.86,27.51,21.61,24.26,19.35,16.71,20.49,16.08,18.89,14.71,16.74,12.45,22.35,23.67,19.47,23.2,18.16,20.5,15.9,159.0,267.0,170.0,141.0,167.0,168.0,128.0
1549,34980,_TOTINDA,RESP046,78.02,77.46,71.72,81.71,73.7,78.7,78.66,67.78,71.18,64.04,73.91,64.52,71.26,71.22,72.9,74.32,67.88,77.81,69.11,74.98,74.94,553.0,985.0,646.0,603.0,687.0,727.0,625.0
1550,35004,BLOODCHO,RESP046,91.43,,90.71,,88.15,,,82.73,,85.23,,82.93,,,87.08,,87.97,,85.54,,,701.0,,833.0,,1328.0,,
1551,35004,Custom_8,Custom_8,0.49606852431777226,,0.5171347621058586,,0.46736622183176685,,,0.37875922028489206,,0.4179567463629376,,0.38790616535551387,,,0.43741387230133216,,0.46754575423439815,,0.42763619359364036,,,297.0,,352.0,,513.0,,
