,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1637,35840,_RFHYPE5,RESP046,"[[nan, nan, 35.66, nan, nan, nan, 37.22], [nan, nan, 32.15, nan, nan, nan, 32.57]]","[0, 0.3900000000000005, -749.4100000000012, 2013, 2017, 35.659999999999854, 37.2199999999998, 0.3900000000000005, 0.3900000000000005]",0-
1638,35840,_RFSMOK3,RESP046,"[[nan, nan, 18.72, 19.24, nan, 16.9, 16.03], [nan, nan, 15.49, 13.56, nan, 13.55, 12.19]]","[-0.27707890323873613, 1115.829059630752, -1123374.3386300046, 2013, 2017, 19.016148692928255, 15.820467007579282, 0.30939519160028794, -1.9072360343095625]",++
1639,35840,_TOTINDA,RESP046,"[[nan, nan, 77.66, 76.3, nan, 74.16, 73.28], [nan, nan, 74.45, 71.05, nan, 70.57, 68.62]]","[0.08088042460790756, -327.0371346551642, 330662.24654487614, 2013, 2017, 77.6437870307127, 73.28769308957271, -1.412545183728355, -0.7655017868651157]",-+
1640,35980,Custom_9,Custom_9,"[[nan, 60.89, nan, nan, nan, nan, nan], [nan, 51.145067983818464, nan, nan, nan, nan, nan]]","[0, 0, 60.89, 2012, 2012, 60.89, 60.89, 0, 0]",00
1641,35980,DIABETE3,RESP046,"[[nan, 9.96, nan, nan, nan, nan, nan], [nan, 7.49, nan, nan, nan, nan, nan]]","[0, 0, 9.96, 2012, 2012, 9.96, 9.96, 0, 0]",00
1642,35980,DRNKANY5,RESP046,"[[nan, 63.98, nan, nan, nan, nan, nan], [nan, 59.12, nan, nan, nan, nan, nan]]","[0, 0, 63.98, 2012, 2012, 63.98, 63.98, 0, 0]",00
1643,35980,_HCVU651,RESP046,"[[nan, 90.24, nan, nan, nan, nan, nan], [nan, 87.05, nan, nan, nan, nan, nan]]","[0, 0, 90.24, 2012, 2012, 90.24, 90.24, 0, 0]",00
1644,35980,_RFHLTH,RESP061,"[[nan, 87.05, nan, nan, nan, nan, nan], [nan, 84.19, nan, nan, nan, nan, nan]]","[0, 0, 87.05, 2012, 2012, 87.05, 87.05, 0, 0]",00
1645,35980,_RFSMOK3,RESP046,"[[nan, 18.24, nan, nan, nan, nan, nan], [nan, 14.48, nan, nan, nan, nan, nan]]","[0, 0, 18.24, 2012, 2012, 18.24, 18.24, 0, 0]",00
1646,35980,_TOTINDA,RESP046,"[[nan, 77.76, nan, nan, nan, nan, nan], [nan, 73.84, nan, nan, nan, nan, nan]]","[0, 0, 77.76, 2012, 2012, 77.76, 77.76, 0, 0]",00
1647,36084,BLOODCHO,RESP046,"[[nan, nan, 79.94, nan, 83.9, nan, nan], [nan, nan, 75.86, nan, 81.08, nan, nan]]","[0, 1.980000000000004, -3905.8000000000084, 2013, 2015, 79.9399999999996, 83.89999999999964, 1.980000000000004, 1.980000000000004]",0+
1648,36084,Custom_8,Custom_8,"[[nan, nan, 46.43482611958969, nan, 40.60786650774732, nan, nan], [nan, nan, 39.26427797724322, nan, 35.108042205184844, nan, nan]]","[0, -2.9134798059211837, 5911.269675438933, 2013, 2015, 46.43482611959007, 40.60786650774753, -2.9134798059211837, -2.9134798059211837]",0+
1649,36084,Custom_9,Custom_9,"[[nan, 58.16, nan, 55.010000000000005, 55.89, 55.14, 53.83], [nan, 48.437428323740676, nan, 45.396982783745784, 48.42370239007311, 46.34470580366978, 44.73943346099925]]","[0, -0.7593230176733199, 1585.438498881901, 2012, 2017, 57.6805873231815, 53.88397223481479, -0.7593230176733199, -0.7593230176733199]",0+
1650,36084,DIABETE3,RESP046,"[[nan, 8.57, 8.95, 10.45, 9.29, 9.27, 6.92], [nan, 6.04, 6.28, 7.63, 6.9, 6.6, 4.22]]","[-0.36573470586384443, 1473.3083933567812, -1483741.4319350321, 2012, 2017, 8.300364324823022, 7.1166814817115664, 1.5919369606710916, -2.0654100979672876]",++
1651,36084,DRNKANY5,RESP046,"[[nan, 59.36, 57.52, 54.63, 58.61, 61.01, 64.06], [nan, 54.26, 52.29, 49.2, 54.49, 56.42, 59.12]]","[0.8681804314604291, -3496.834608756287, 3521171.129477645, 2012, 2017, 59.3011939432472, 64.62294193170965, -3.2765525595200415, 5.405251755084464]",--
1652,36084,_HCVU651,RESP046,"[[nan, 86.31, 87.52, 87.75, 91.32, 92.12, 89.24], [nan, 82.15, 84.21, 84.36, 88.69, 89.77, 85.81]]","[-0.2524685683371754, 1017.9804520809918, -1026061.5507219716, 2012, 2017, 85.99876225716434, 89.92171350982971, 2.0469330921979463, -0.4777525911738394]",+-
1653,36084,_RFHLTH,RESP061,"[[nan, 87.03, 86.68, 86.44, 89.24, 87.66, 87.87], [nan, 83.56, 83.76, 83.42, 86.5, 84.92, 84.79]]","[0, 0.26443392229561397, -445.24343610168887, 2012, 2017, 86.79761555708637, 88.11978516856448, 0.26443392229561397, 0.26443392229561397]",0+
1654,36084,_RFHYPE5,RESP046,"[[nan, nan, 26.65, nan, 28.05, nan, 24.9], [nan, nan, 22.16, nan, 24.31, nan, 20.61]]","[0, -0.4236927086573423, 880.1222625513745, 2013, 2017, 27.22884002414446, 25.534069189515094, -0.4236927086573423, -0.4236927086573423]",0+
1655,36084,_RFSMOK3,RESP046,"[[nan, 11.22, 11.84, 10.08, 10.77, 8.95, 8.83], [nan, 7.87, 8.65, 7.22, 7.83, 6.68, 6.18]]","[0, -0.5377779950838653, 1093.6816581597977, 2012, 2017, 11.672332051060948, 8.983442075641506, -0.5377779950838653, -0.5377779950838653]",0+
1656,36084,_TOTINDA,RESP046,"[[nan, 83.84, 79.06, 78.92, 83.59, 83.18, 83.04], [nan, 79.86, 74.69, 74.69, 80.28, 79.83, 79.12]]","[0.4906995133708853, -1976.677303903195, 1990734.8368590146, 2012, 2017, 82.39226105529815, 84.1474383957684, -2.1024620987525395, 2.8045330349561937]",++
1657,36140,BLOODCHO,RESP046,"[[81.51, nan, nan, nan, nan, nan, nan], [75.26, nan, nan, nan, nan, nan, nan]]","[0, 0, 81.51, 2011, 2011, 81.51, 81.51, 0, 0]",00
1658,36140,Custom_8,Custom_8,"[[50.86492454913507, nan, nan, nan, nan, nan, nan], [42.95406708682296, nan, nan, nan, nan, nan, nan]]","[0, 0, 50.86492454913507, 2011, 2011, 50.86492454913507, 50.86492454913507, 0, 0]",00
1659,36140,Custom_9,Custom_9,"[[66.58, 63.629999999999995, nan, nan, nan, nan, nan], [55.09121851543864, 48.399527256188, nan, nan, nan, nan, nan]]","[0, -2.9500000000000024, 5999.030000000005, 2011, 2012, 66.57999999999993, 63.63000000000011, -2.9500000000000024, -2.9500000000000024]",0+
